,imdb_id,rating,rating_count,review_count,critics_count
30240,tt0775461,5.3,62,0,1
30241,tt2106744,6.7,494,2,2
30242,tt1579232,3.8,4839,38,18
30243,tt1543017,6.1,76,0,12
30244,tt1935742,6.0,498,4,71
30245,tt0064425,6.7,4046,8,9
30246,tt0092797,6.5,807,7,12
30247,tt2229377,5.1,853,9,16
30248,tt0068200,7.1,823,21,9
30249,tt0044435,5.9,94,9,2
30250,tt2766268,5.7,787,4,17
30251,tt4359416,7.4,10084,24,194
30252,tt0101609,7.5,1178,15,3
30253,tt0028799,6.2,88,5,4
30254,tt0037737,6.5,138,5,2
30255,tt0048217,6.8,292,12,1
30256,tt0222167,4.8,960,17,10
30257,tt2199436,7.4,744,3,18
30258,tt2718442,6.6,516,4,16
30259,tt1985970,7.8,4622,8,2
30260,tt0840305,7.4,2118,18,8
30261,tt1865333,7.2,1495,2,
30262,tt3883282,6.1,246,1,2
30263,tt4137324,6.8,655,13,33
30264,tt0062207,6.9,734,23,14
30265,tt0049715,5.4,506,20,10
30266,tt0029593,6.9,532,9,7
30267,tt0027395,5.8,463,14,4
30268,tt0227858,7.1,369,6,7
30269,tt0061556,6.9,2205,51,9
30270,tt0061594,5.9,685,18,3
30271,tt1778342,8.0,4888,15,13
30272,tt0063128,5.6,477,15,1
30273,tt0049432,7.0,1076,35,7
30274,tt0054159,7.6,1122,8,8
30275,tt0442399,6.0,153,1,6
30276,tt0061098,6.0,336,8,3
30277,tt0044136,7.1,563,16,9
30278,tt0040963,6.4,213,9,2
30279,tt0194879,4.9,60,6,2
30280,tt3672840,6.1,14523,104,70
30281,tt2176013,6.8,45862,287,51
30282,tt1740710,5.8,7689,21,21
30283,tt1667838,5.6,6406,43,10
30284,tt1674771,6.6,66991,180,217
30285,tt3573598,5.3,1492,16,71
30286,tt0203620,7.0,184,7,17
30287,tt0011157,6.7,587,11,6
30288,tt0241218,2.2,1985,28,3
30289,tt4393514,8.2,2007,25,7
30290,tt0063102,6.3,425,16,7
30291,tt4075520,6.4,958,4,5
30292,tt2481554,5.3,1170,6,13
30293,tt3720672,6.8,139,1,1
30294,tt0066982,5.6,1021,33,29
30295,tt3133722,4.5,593,10,6
30296,tt1919174,7.2,1137,6,10
30297,tt2401181,5.7,1166,8,92
30298,tt3017412,5.5,2780,27,18
30299,tt0056060,5.8,440,6,5
30300,tt1037714,7.0,1481,2,3
30301,tt3483194,7.0,1698,8,57
30302,tt2584018,6.2,1214,13,5
30303,tt1309178,6.9,2541,2,26
30304,tt2902898,6.2,1357,12,1
30305,tt1757831,2.4,975,11,4
30306,tt0474603,7.2,2137,6,4
30307,tt0167320,6.1,126,1,6
30308,tt0061658,7.6,240,12,16
30309,tt1466069,7.4,53,0,
30310,tt1756479,6.7,736,8,31
30311,tt0073014,6.1,155,2,6
30312,tt1924273,6.4,2623,6,18
30313,tt0045708,8.6,6924,51,10
30314,tt2933544,6.2,6323,38,72
30315,tt2096673,8.2,450090,841,555
30316,tt2420166,5.5,1561,7,19
30317,tt3922958,6.5,297,3,5
30318,tt2415458,7.0,9755,26,143
30319,tt3043546,7.4,899,2,
30320,tt1769383,6.3,376,0,9
30321,tt0066950,5.5,1359,8,5
30322,tt1694542,6.7,10486,32,19
30323,tt3057836,6.6,126,2,10
30324,tt1015471,6.3,1660,19,23
30325,tt0067133,3.3,426,12,13
30326,tt0068164,5.0,359,14,11
30327,tt3253624,7.5,12242,111,41
30328,tt0903657,7.4,29154,127,267
30329,tt1372301,7.5,2613,10,21
30330,tt0025942,6.5,89,2,1
30331,tt0128076,4.3,76,3,3
30332,tt0077731,4.1,146,9,2
30333,tt0077206,6.4,29,1,
30334,tt0073003,3.2,20,2,
30335,tt0071883,5.0,23,1,
30336,tt0476958,5.1,9891,74,46
30337,tt2316868,6.1,1106,14,32
30338,tt1426328,5.7,322,6,5
30339,tt2177180,6.9,437,5,10
30340,tt0079054,7.1,223,2,2
30341,tt0211077,7.2,18,0,
30342,tt1748158,6.6,105,0,10
30343,tt1185405,7.7,171,3,13
30344,tt1252486,7.4,650,5,22
30345,tt1524148,6.1,209,6,5
30346,tt1483020,6.8,908,11,20
30347,tt2599716,6.1,7054,32,48
30348,tt1243971,7.2,425,6,3
30349,tt0890879,5.5,363,2,7
30350,tt2180503,5.9,119,3,7
30351,tt1192422,7.1,69,1,
30352,tt1399584,6.9,37,0,1
30353,tt0307920,7.8,1820,47,2
30354,tt0100946,6.8,432,12,12
30355,tt0080488,7.2,337,2,1
30356,tt0079211,7.1,180,1,
30357,tt0076185,7.5,400,0,3
30358,tt0075114,6.2,240,1,
30359,tt0075221,6.8,476,3,1
30360,tt0068641,7.1,171,1,
30361,tt0067685,6.7,105,1,1
30362,tt0095866,6.4,264,1,1
30363,tt0455906,7.0,317,20,9
30364,tt0063508,7.1,591,3,2
30365,tt0063650,6.9,348,0,
30366,tt0062080,7.1,823,6,1
30367,tt0060070,6.6,112,0,1
30368,tt0060545,7.7,1301,9,26
30369,tt1338687,7.4,285,11,29
30370,tt0049866,7.9,1214,5,1
30371,tt1117636,5.6,1021,18,51
30372,tt0049717,6.4,151,0,1
30373,tt0048207,6.6,101,0,2
30374,tt1972646,7.2,800,0,17
30375,tt0479409,7.0,118,2,7
30376,tt0351278,7.1,251,2,2
30377,tt0114864,7.1,461,6,1
30378,tt0099836,6.7,196,1,
30379,tt0134668,6.9,184,2,
30380,tt0058938,6.2,186,5,
30381,tt0057837,7.1,44,0,
30382,tt0122207,7.4,83,1,3
30383,tt0136416,5.9,62,0,
30384,tt1541666,7.1,226,3,30
30385,tt0052921,6.8,63,1,
30386,tt0052589,7.1,654,1,2
30387,tt0052352,6.2,209,0,
30388,tt1512779,7.9,338,0,9
30389,tt0088782,7.7,591,6,8
30390,tt0076208,7.9,1208,17,8
30391,tt0094743,8.2,636,11,6
30392,tt1787731,6.3,604,3,16
30393,tt2649128,6.6,5524,10,20
30394,tt2008655,7.3,92,2,1
30395,tt3598222,3.7,1919,30,35
30396,tt1951266,6.6,217977,413,413
30397,tt3369806,6.8,22448,92,61
30398,tt2120120,5.6,107664,375,264
30399,tt3663184,,,,
30400,tt3410834,5.7,78928,181,200
30401,tt3183660,7.4,281721,619,416
30402,tt1502397,,,,
30403,tt3433358,6.4,1230,3,30
30404,tt4246092,6.5,57,0,2
30405,tt0049769,6.8,655,23,15
30406,tt0089477,6.6,1002,10,8
30407,tt0065700,6.7,435,9,14
30408,tt0061733,5.1,723,26,45
30409,tt0051430,5.9,217,6,4
30410,tt0069698,5.8,375,5,10
30411,tt2088735,7.9,5162,9,19
30412,tt0084698,6.7,915,21,29
30413,tt0067580,6.8,915,18,8
30414,tt0050210,5.3,1166,44,34
30415,tt1065086,7.1,225,2,1
30416,tt1202749,7.5,80,0,1
30417,tt1421361,6.3,1507,4,3
30418,tt2467442,7.3,615,4,3
30419,tt2167393,8.7,2615,15,8
30420,tt0107061,7.5,2941,20,11
30421,tt0104045,6.5,262,1,5
30422,tt1548629,6.5,1066,8,5
30423,tt2004304,8.0,963,3,2
30424,tt3456090,7.3,601,2,5
30425,tt1931549,6.8,384,4,11
30426,tt1585255,6.5,848,11,22
30427,tt3481000,4.0,821,11,7
30428,tt0114181,8.0,1566,10,6
30429,tt2855648,7.7,18675,129,30
30430,tt0091091,7.1,1151,10,21
30431,tt0442001,7.4,457,6,7
30432,tt0438575,7.4,1468,19,7
30433,tt0800205,6.5,435,11,53
30434,tt0193524,2.3,10007,238,77
30435,tt2837366,6.0,66,2,5
30436,tt3097084,6.9,4290,29,10
30437,tt0069807,4.6,209,4,8
30438,tt3483612,6.7,4040,60,19
30439,tt2486880,4.7,366,7,7
30440,tt3512066,6.5,283,6,19
30441,tt3138192,5.0,717,5,4
30442,tt0077762,3.8,127,6,8
30443,tt0107838,1.5,2182,35,8
30444,tt2247646,6.5,83,1,2
30445,tt3111626,6.1,197,0,9
30446,tt0115321,8.0,1699,16,7
30447,tt3013258,7.4,911,3,33
30448,tt0397430,4.6,1585,47,10
30449,tt0401088,6.9,1435,36,4
30450,tt0206064,6.4,3791,12,3
30451,tt0942378,5.8,1594,11,4
30452,tt0282223,5.6,622,8,1
30453,tt0256466,6.1,1267,13,
30454,tt1249300,7.1,2728,15,1
30455,tt0114188,3.2,2763,33,1
30456,tt0117287,6.9,1646,8,3
30457,tt0186726,6.5,5242,40,2
30458,tt0271271,6.0,2767,21,
30459,tt0379060,5.6,1983,12,
30460,tt0211174,5.6,1449,10,
30461,tt0208101,7.0,1944,20,1
30462,tt0274636,6.3,5032,32,5
30463,tt0365149,6.1,1990,20,
30464,tt0790781,5.5,4219,34,6
30465,tt1294969,2.9,8194,31,8
30466,tt2064745,6.3,544,4,24
30467,tt0118909,3.9,352,6,2
30468,tt3168230,6.9,52351,195,294
30469,tt0972542,6.9,1404,10,29
30470,tt2567000,6.0,145,1,2
30471,tt2582752,6.6,96,0,
30472,tt0087520,6.1,779,3,1
30473,tt2434800,4.8,136,0,6
30474,tt1509742,5.3,191,0,10
30475,tt0045247,7.3,419,0,1
30476,tt0044141,6.7,186,1,
30477,tt0047025,6.7,259,1,
30478,tt0046705,7.1,1206,3,3
30479,tt0053333,7.2,516,1,4
30480,tt0056604,7.0,347,3,
30481,tt0056020,5.5,31,1,
30482,tt0055936,7.3,396,3,2
30483,tt0061656,5.1,125,0,2
30484,tt0070534,6.8,2707,4,4
30485,tt0073541,6.5,2309,2,7
30486,tt0076544,6.3,2440,3,4
30487,tt0083676,5.5,314,1,
30488,tt2054815,6.9,345,1,
30489,tt1329371,8.3,47,0,2
30490,tt1748062,6.7,309,2,30
30491,tt1794779,7.9,244,0,10
30492,tt2274064,7.2,123,5,4
30493,tt0139193,7.6,673,11,11
30494,tt2806908,6.4,218,8,9
30495,tt0423868,7.2,230,4,5
30496,tt1227637,5.6,2942,49,3
30497,tt1728979,3.5,1068,12,11
30498,tt3725284,5.6,946,9,3
30499,tt2709768,6.6,137614,258,275
30500,tt0075367,6.7,117,4,1
30501,tt0333388,8.3,888,7,4
30502,tt0020414,7.8,3193,24,9
30503,tt1893195,6.6,5930,14,36
30504,tt3295482,3.9,581,12,16
30505,tt1592503,4.3,1965,21,69
30506,tt1024215,8.3,1263,0,6
30507,tt1049406,7.0,133,1,6
30508,tt2357770,5.9,1167,3,17
30509,tt2406422,7.3,244,7,18
30510,tt0457342,1.7,574,13,5
30511,tt3205630,5.9,141,3,1
30512,tt2545186,4.6,384,0,8
30513,tt2792346,5.5,621,2,9
30514,tt1309463,5.8,33,0,
30515,tt1636727,5.5,28,0,1
30516,tt0325322,5.7,752,13,5
30517,tt4323536,7.0,1133,15,24
30518,tt2318405,6.1,2497,32,24
30519,tt0289213,3.9,434,8,12
30520,tt0250593,5.9,2583,16,4
30521,tt0984204,5.7,2103,24,10
30522,tt3973410,8.5,3375,19,15
30523,tt2408040,6.5,2617,21,14
30524,tt0390205,7.5,2176,13,18
30525,tt2424988,7.3,18936,64,15
30526,tt3183630,7.6,4752,21,73
30527,tt1810683,7.4,19476,125,50
30528,tt4056738,6.1,5821,68,12
30529,tt4573800,5.1,3001,42,15
30530,tt0071258,7.0,528,27,7
30531,tt0070832,7.9,6424,47,24
30532,tt0410520,7.8,602,5,14
30533,tt0094262,5.3,505,24,23
30534,tt2140379,6.5,71842,143,182
30535,tt3405714,6.5,5259,32,9
30536,tt2328678,,,,
30537,tt0133351,7.1,598,2,
30538,tt0437856,6.7,387,19,1
30539,tt0092978,7.5,6724,72,10
30540,tt3014866,6.3,43838,159,162
30541,tt1618442,6.0,76390,136,211
30542,tt3850590,6.2,46033,230,236
30543,tt1386697,6.1,452000,1854,652
30544,tt3416042,6.1,452000,1854,652
30545,tt0892332,7.4,789,10,10
30546,tt3922754,2.2,747,40,5
30547,tt0093546,6.2,1601,22,7
30548,tt1808518,4.9,593,7,
30549,tt1734428,5.5,989,5,30
30550,tt1305890,6.8,760,4,10
30551,tt0476527,6.7,4861,33,11
30552,tt3089778,7.2,6305,30,69
30553,tt0006517,6.2,208,6,4
30554,tt0232002,6.8,236,6,1
30555,tt0073706,5.6,475,7,4
30556,tt1628841,5.3,139722,754,349
30557,tt2660888,7.1,184500,733,450
30558,tt0138986,7.5,156,0,
30559,tt0119147,7.4,196,5,4
30560,tt0205957,5.8,81,0,
30561,tt0075357,5.0,506,22,12
30562,tt0083352,7.5,513,9,13
30563,tt0199389,5.7,2027,57,13
30564,tt0341266,6.5,2670,29,19
30565,tt2585562,8.1,4344,6,8
30566,tt0266875,7.2,711,12,4
30567,tt1301698,6.4,2108,12,3
30568,tt0476649,5.4,1412,18,13
30569,tt0349333,6.3,2374,21,5
30570,tt0080827,7.1,1551,20,27
30571,tt1433562,5.6,6363,27,72
30572,tt0897347,5.7,4791,29,43
30573,tt1839596,7.6,30463,142,32
30574,tt1230165,7.8,17429,80,9
30575,tt0207161,5.8,1243,18,7
30576,tt0066374,7.6,535,4,1
30577,tt0410603,5.5,352,10,11
30578,tt0400762,6.0,321,3,2
30579,tt1754000,5.9,2432,25,133
