"id","name"
3272,"Drake Bell"
4800,"Gena Rowlands"
2958,"Diana Scarwid"
4135,"Robert Redford"
8893,"Stockard Channing"
3266,"Joe Mantegna"
78729,"Nathan Lane"
1902,"Dianne Wiest"
13919,"Michael York"
14990,"Morgan Fairchild"
925,"Paul Guilfoyle"
14102,"George Coe"
86308,"Shari Albert"
21398,"Maxine Bahns"
86309,"Catharine Bolz"
86310,"Connie Britton"
12833,"Edward Burns"
2888,"Will Smith"
78029,"Martin Lawrence"
10698,"Tchéky Karyo"
32747,"Stephen Lang"
108210,"Ryan Slater"
108211,"Yi Ding"
108212,"Brian Wagner"
108213,"Isabella Hofmann"
6193,"Leonardo DiCaprio"
11478,"Lorraine Bracco"
65395,"James Madio"
13240,"Mark Wahlberg"
9257,"Bruno Kirby"
95789,"Georgina Cates"
47754,"Rita Tushingham"
2629,"Alun Armstrong"
17882,"Isabelle Huppert"
42993,"Martin Donovan"
17257,"Elina Löwensohn"
2,"171574"
2053,"Bill Paxton"
33,"Gary Sinise"
4431,"Jessica Lange"
5049,"John Hurt"
3127,"Lili Taylor"
18750,"Annabella Sciorra"
36190,"Edie Falco"
11486,"Michael Imperioli"
2176,"Tommy Lee Jones"
5577,"Chris ODonnell"
50,"Catherine Deneuve"
3784,"Michel Piccoli"
9762,"Jean Sorel"
9763,"Geneviève Page"
17577,"Pierre Clémenti"
3910,"Frances McDormand"
19668,"U Aung Ko"
8978,"Spalding Gray"
46392,"Lou Reed"
46393,"Roseanne Barr"
10437,"Lily Tomlin"
7180,"John Candy"
24203,"Rhea Perlman"
14702,"Cathy Moriarty"
10713,"Eric Idle"
159788,"Joe Nipote"
1241,"John Turturro"
327,"Mekhi Phifer"
21353,"Isaiah Washington"
350,"Laura Linney"
21043,"Dylan Walsh"
8874,"Ernie Hudson"
5292,"Denzel Washington"
73033,"Robert Crumb"
95663,"Aline Kominsky"
1369235,"Charles Crumb"
1369236,"Maxon Crumb"
1369237,"Martin Muller"
3136,"Salma Hayek"
22462,"Joaquim de Almeida"
11159,"Cheech Marin"
884,"Steve Buscemi"
1896,"Don Cheadle"
16940,"Jeremy Irons"
2231,"Samuel L. Jackson"
6804,"Graham Greene"
13023,"Colleen Camp"
16850,"Rose McGowan"
1582,"James Duval"
51670,"Johnathon Schaech"
157847,"Cress Williams"
61632,"Dustin Nguyen"
6368,"Embeth Davidtz"
22169,"Tom Bell"
9138,"Gemma Jones"
17648,"James Purefoy"
21343,"Ben Chaplin"
738,"Sean Connery"
1205,"Richard Gere"
29068,"Ben Cross"
15498,"Liam Cunningham"
147,"Michael Madsen"
18261,"Jayne Atkinson"
18260,"August Schellenberg"
8184,"Mary Kate Schellhardt"
9012,"Jonny Lee Miller"
11701,"Angelina Jolie"
17772,"Jesse Bradford"
26457,"Matthew Lillard"
28863,"Renoly Santiago"
2387,"Patrick Stewart"
42722,"Michael T. Weiss"
11870,"Christine Baranski"
6384,"Keanu Reeves"
2133,"Dina Meyer"
3317,"Takeshi Kitano"
21411,"Ice-T"
16644,"Dolph Lundgren"
2882,"Diane Lane"
23346,"Armand Assante"
920,"Jürgen Prochnow"
13445,"Tia Carrere"
2283,"Stanley Tucci"
1535,"Brian Doyle-Murray"
3093,"Abe Vigoda"
57387,"Leo Fitzpatrick"
5916,"Rosario Dawson"
2838,"Chloë Sevigny"
57389,"Justin Pierce"
1187713,"Sajan Bhagat"
2229,"Catherine Keener"
20212,"Dermot Mulroney"
6474,"James Le Gros"
22970,"Peter Dinklage"
2154,"Scott Bakula"
18916,"Kevin J. OConnor"
156136,"Joel Swetow"
13638,"Thomas Gibson"
73296,"Ruth Marshall"
