"movie_id","actor_id"
9536,7676
11525,29459
11525,40009
11525,58119
11525,36898
11525,72612
40628,124150
40628,1158
40628,1161
40628,4887
40628,25879
4482,25256
4482,35137
4482,4275
4482,13689
4482,35908
10634,9778
10634,66
10634,9781
10634,8396
10634,56902
755,1461
755,138
755,1037
755,3196
755,11158
11859,13021
11859,33665
11859,782
11859,4443
11859,30488
28387,52419
28387,46423
28387,52930
28387,7036
28387,78190
48750,3829
48750,35211
48750,63895
48750,141054
48750,6014
20927,2224
20927,31140
20927,21063
20927,16851
20927,4890
36929,8872
36929,74036
36929,105962
36929,10556
36929,4175
9102,27811
9102,56977
9102,56978
9102,56979
9102,25689
124626,938895
124626,109142
124626,14397
124626,7491
124626,18627
27526,514
27526,52
27526,5657
27526,32
27526,6721
9623,3416
9623,7447
9623,24045
9623,8256
9623,4691
46785,1034640
46785,1034642
46785,1034643
46785,1387299
46785,1387300
400,1271
400,1062
400,4520
400,5502
400,4515
880,13506
880,13507
880,13508
880,13509
880,13510
146599,19739
188588,990400
188588,22137
188588,69697
188588,175081
188588,24368
8447,40900
8447,5470
8447,14326
8447,55037
8447,35862
10534,1229
10534,6692
17414,1206
17414,6450
17414,27564
17414,4757
17414,171373
13997,58198
13997,60950
13997,31511
13997,21561
13997,2048
2086,85
2086,21365
2086,17764
2086,4690
2086,21366
61548,12261
61548,9030
61548,16476
61548,8975
61548,11867
9095,1204
9095,6949
9095,47722
9095,5658
9095,515
12158,776
12158,9780
12158,32486
12158,66554
12158,56902
9283,2876
9283,11315
9283,49425
9283,34485
9283,16327
9208,8891
9208,2224
9208,20767
9208,18792
9208,4029
40154,29859
40154,13637
40154,17483
40154,32357
40154,12094
406,1925
406,5418
406,5419
406,5420
406,72270
45549,41381
45549,9642
45549,28848
45549,30087
45549,48
63076,92561
63076,92032
63076,1144665
63076,1144666
63076,74954
11062,1158
11062,3036
11062,2233
11062,1004
11062,2641
13685,36422
13685,887
13685,74940
13685,71555
13685,52797
47475,14
47475,8984
47475,3234
47475,923
47475,23709
2045,11477
2045,9625
2045,9979
2045,4443
2045,19839
9614,19292
9614,7399
9614,4443
9614,31171
9614,11794
688,5064
688,190
688,6907
688,10379
688,10380
11907,22686
11907,70887
11907,70888
11907,9931
11907,1084
10874,13472
10874,19996
10874,12094
10874,9188
10874,64181
89333,937034
89333,937035
89333,103057
89333,50841
89333,3664
96357,10361
96357,1112607
96357,36197
96357,4944
96357,56930
197,2461
197,2462
197,1957
197,2463
197,2464
103,380
103,1036
103,1037
103,1038
103,1039
33542,18897
33542,44917
33542,10875
33542,44922
33542,44919
43566,5064
43566,3896
43566,820
43566,658
43566,1473
71754,1283
71754,19901
71754,198287
71754,18794
71754,6074
43612,12270
43612,30641
43612,20851
43612,2744
43612,77929
51352,11181
51352,515
16934,81023
16934,53367
16934,81024
16934,5312
16934,81025
10324,520
10324,5590
10324,1245
10324,68185
10324,68186
78406,1271
78406,1903
78406,10768
78406,532
78406,18316
55731,4587
55731,26485
55731,1893
55731,13446
55731,17770
32119,15319
32119,198643
32119,1195879
32119,946161
32119,1828572
11066,776
11066,59153
11066,4587
11066,58563
11066,10661
11104,56830
11104,1337
11104,12671
37975,2166
37975,258039
37975,592480
37975,14151
37975,652000
2074,7399
2074,4687
2074,4939
2074,21277
2074,21278
27793,18259
27793,57236
27793,27111
27793,134061
27793,70851
44284,1311669
44284,1311670
44284,1311671
44284,1311672
44284,1311673
290157,1435458
110972,2694
110972,8256
110972,1230
110972,77133
110972,4003
32622,143151
32622,196180
32622,3711
32622,87707
32622,1590957
73067,2876
73067,567972
73067,5168
73067,57298
73067,140230
11863,16560
11863,9625
11863,9046
